1,Πως αναπαρίσταται ο αριθμός 205 στο δυαδικό σύστημα (χωρίς bit προσήμου);,10010101,11001101,11001100,00110011,2,
1,Πως αναπαρίσταται ο αριθμός -150 στο δυαδικό σύστημα (με bit προσήμου);,10011001,00011001,01100111,11100111,1,
1,Με 8 bits (με πρόσημο) μπορούμε να αναπαραστήσουμε:,"128 αριθμούς, από το 0 έως το 127.","256 αριθμούς, από το 0 έως το 255.","256 αριθμούς, από το -128 έως το 127.","Κανένα από τα παραπάνω.",3,
1,Ποιο είναι το αποτέλεσμα της πράξης 00101011 + 10101010 (χωρίς πρόσημο);,11010101,01010101,11010100,00101010,1,
1,Πως ονομάζεται ο μηχανισμός που είναι υπεύθυνος για τη μετατροπή διαδικτυακών ονομάτων σε διευθύνσεις IP;,HTTP,TCP/IP,DNS,Router,3,
1,Ποια είναι τα βασικά συστατικά ενός υπολογιστικού συστήματος;,"ΚΜΕ, Κύρια Μνήμη, Δευτερεύουσα Μνήμη, Μητρική Πλακέτα, Είσοδος/Έξοδος, Τροφοδοτικό","Υλικό, Λειτουργικό Σύστημα, Προγράμματα, Διαδίκτυο","Υλικό, Λειτουργικό Σύστημα, Προγράμματα, Χρήστες","Λειτουργικό Σύστημα, Επεξεργαστής Κειμένου, Web Browser, Γλώσσες Προγραμματισμού",3,
1,Ποια από τις παρακάτω προτάσεις είναι αληθής:,"Αν P=1 και Q=0, τότε: P ∧ (∼ Q) = 0","Αν P=1 και Q=1, τότε: P ∧ (∼ Q) = 1","Αν P=0 και Q=0, τότε: P ∧ (∼ Q) = 1","Αν P=0 και Q=1, τότε: P ∧ (∼ Q) = 0",4,
1,Ποια από τις παρακάτω προτάσεις είναι αληθής;,"Αν P=0 και Q=0, τότε: ∼ P ∧ (∼ (Q ∨ Q)) = 0","Αν P=0 και Q=1, τότε: ∼ P ∧ (∼ (Q ∨ Q)) = 0","Αν P=1 και Q=0, τότε: ∼ P ∧ (∼ (Q ∨ Q)) = 1","Αν P=1 και Q=1, τότε: ∼ P ∧ (∼ (Q ∨ Q)) = 1",2,
1,Ποια από τις παρακάτω ΔΕΝ αποτελεί γλώσσα επισημείωσης;,HTML,JAVA,Wikitext,XML,2,
1,Ποια μορφή μνήμης μπορεί να χρησιμοποιηθεί αν θέλουμε να αποθηκεύουμε ένα σύνολο από φωτογραφίες στον υπολογιστή μας;,Μνήμη Τυχαίας Προσπέλασης (RAM),Μνήμη ROM,Μνήμη Cache,Δευτερεύουσα Μνήμη (Hard Drive - SSD),4,
2,"Η εντολή που γράφετε στο παράθυρο του DOS για να εκτελέσετε τον κώδικα του προγράμματος Test.class  είναι:",javac Test.class,java Test.java,java Test,java Test.class,2,
2,"To αποτέλεσμα της εκτύπωσης είναι:",y is 2 and x is 4,y is 3 and x is 4,y is 2 and x is 3,y is 3 and x is 3,4,images/java_q2.png
2,"Έστω ότι x=20 και y=30, ποια η τιμή του x μετά τον υπολογισμό της έκφρασης: (y > 30) && (x++ > 10);",20,false,true,21,2,
2,"To αποτέλεσμα της εκτύπωσης είναι:",9,10,11,0,2,images/java_q4.png
2,"Τι τιμή έχει η μεταβλητή prod στο τέλος του βρόχου;",1,6,12,24,2,images/java_q5.png
2,"Τι τιμή έχει η μεταβλητή y όταν ολοκληρωθεί το switch;",-1,0,1,4,2,images/java_q6.png
2,"Έστω μία κλάση που ορίζεται ως δίπλα, η οποία αναπαριστά σημεία στο χώρο. Με αυτή τη δήλωση:",δημιουργούμε ένα νέο τύπο δεδομένων,δηλώνουμε αντικείμενα String και Coodinate,δηλώνουμε αντικείμενo Point,δημιουργούμε τοπικές μεταβλητές,2,images/java_q7.png
2,"Έστω ο παρακάτω κώδικας, ποιο το αποτέλεσμα που θα εκτυπωθεί;",0,ΝaN,δεν θα γίνει compile ο κώδικας,παρουσιάζεται λάθος εκτέλεσης (runtime error),4,images/java_q8.png
2,"Τι τιμή επιστρέφεται όταν καλέσουμε τη yMethod με τιμή 4;",1,2,8,5,4,images/java_q9.png
2,"Τι είναι η τοπική μεταβλητή;","Μεταβλητές που ορίζονται μέσα σε μεθόδους, κατασκευαστές ή μπλοκ","Mεταβλητές που ορίζονται εκτός των μεθόδων, κατασκευαστών ή μπλοκ","Μεταβλητές που διαλέγουμε εμείς το όνομά τους","Μεταβλητές που χρησιμοποιούνται στη main μέθοδο",1,
4,Ένα πληροφοριακό σύστημα θεωρείται ως «μαύρο κουτί» (black box) όταν:,Φέρνει αρνητικά αποτελέσματα στην κερδοφορία του οργανισμού που το χρησιμοποιεί,Είναι δυσνόητο,Δυσχεραίνει τις σχέσεις του οργανισμού που το χρησιμοποιεί με τους πελάτες του,Δεν ενδιαφέρουν οι λεπτομέρειες της εσωτερικής του δομής,4,
4,Ποιος από τους παρακάτω χαρακτηρισμούς δεν αποτελεί χαρακτηριστικό ποιότητας για την πληροφορία:,Καταλληλότητα μορφής,Λιτότητα,Ποσότητα,Σχετικότητα,3,
4,Ποια πληροφοριακά συστήματα χρησιμοποιούνται για να ικανοποιήσουν τις πληροφοριακές ανάγκες προϊσταμένων σε όλο τον οργανισμό;,Πληροφοριακά συστήματα διοίκησης (Management Information Systems),Πληροφοριακά συστήματα διαχείρισης πόρων (Information Resource Information Systems),Πληροφοριακά συστήματα για στελέχη (Executive Information Systems),Χρηματοοικονομικά πληροφοριακά συστήματα (Financial Information Systems),1,
4,Ο παραδοσιακός τρόπος ανάπτυξης πληροφοριακών συστημάτων ονομάζεται:,Μοντέλο των πέντε σταδίων,Καθορισμός απαιτήσεων,Ευέλικτη ανάπτυξη,Μοντέλο του καταρράκτη,4,
4,Τα πληροφοριακά συστήματα που υποστηρίζουν τις καθημερινές λειτουργίες ενός οργανισμού ονομάζονται:,Πληροφοριακά συστήματα διοίκησης (Management Information Systems),Πληροφοριακά συστήματα συναλλαγών (Transaction Processing Systems),Συστήματα στήριξης αποφάσεων (Decision Support Systems),Συστήματα στήριξης ομαδικών αποφάσεων (Group Decision Support Systems),2,
4,Ποιο από τα παρακάτω θέματα δεν θεωρείται πλέον μείζονος σημασίας για τη διαχείριση πληροφορικής στους οργανισμούς;,Θέματα ασφάλειας και κυβερνοασφάλειας (security/cybersecurity),Ευθυγράμμιση πληροφορικής και εταιρικής στρατηγικής (alignment of IT with the business),Ψηφιακός μετασχηματισμός (digital transformation),Στρατηγικός σχεδιασμός (strategic planning),4,
4,Η τεχνητή νοημοσύνη πάντα:,Ενέχει προβλήματα μεροληψίας,Προσφέρει διαφάνεια στον τρόπο λήψης αποφάσεων,Λαμβάνει αποφάσεις χωρίς ανθρώπινη παρέμβαση,Καμία από τις άλλες επιλογές,4,
4,Το διαδίκτυο είναι ένα σύστημα:,Ιστοτόπων,Ιστοσελίδων,Διασυνδεδεμένων δικτύων,Πακέτων λογισμικού,3,
4,Ποιο από τα παρακάτω είχε σημαντική επίδραση για τη δημιουργία του Internet;,Η ανακάλυψη των ραδιοκυμάτων,Ο δεύτερος παγκόσμιος πόλεμος,Η κατασκευή μικρότερων υπολογιστών,Η κατασκευή και εκτόξευση του δορυφόρου Sputnik,4,
4,Πώς θα χαρακτηρίζατε τη δομή/αρχιτεκτονική του Internet,Centralized (συγκεντρωτική),Decentralized (αποκεντρωμένη),Distributed (διανεμημένη),Randomized (τυχαία),2,
5,Ποια από τα παρακάτω αποτελεί πρόβλημα χρήσης των αρχείων;,"Επανάληψη πληροφορίας",Δυσκολία πρόσβασης στην πληροφορία,Προβλήματα ακεραιότητας (integrity constraints),Επανάληψη πληροφορίας, δυσκολία πρόσβασης στην πληροφορία και προβλήματα ακεραιότητας (integrity constraints) (όλες οι επιλογές)".,4,
5,"Προκειμένου να διατηρήσετε τα δεδομένα πελατών και πωλήσεων μίας επιχείρησης καθώς και των σχέσεων μεταξύ τους, ποια μορφή/πρόγραμμα θα ήταν η καταλληλότερη/ο;","Microsoft Excel","Αρχεία κειμένου (.txt, .csv)",Αρχεία HTML,Microsoft Access,4,
5,Το μοντέλο οντοτήτων συσχετίσεων:,"Aποτελείται από οντότητες, συσχετίσεις, γνωρίσματα και περιορισμούς επί των δεδομένων","Αποτελείται μόνο από οντότητες και συσχετίσεις","Αποτελείται από πίνακες με γραμμές και στήλες","Αποτελείται από αρχεία κειμένου (.txt, .csv) που βρίσκονται στον ίδιο φάκελο",1,
5,"Ποια από τις παρακάτω είναι μία γλώσσα ερωτημάτων, με τη χρήση της οποίας μπορούμε να εκφράσουμε ερωτήματα σε μία Βάση Δεδομένων";,HTML,Java,SQL,Markdown,3,
5,"Ποιος τύπος συσχέτισης θα περιέγραφε καλύτερα το εξής παράδειγμα: «Ένας φοιτητής μπορεί να παρακολουθεί πολλά μαθήματα και ένα μάθημα διαθέτει πολλούς φοιτητές:",Πολλά προς πολλά,Ένα προς πολλά,Ένα προς ένα,Καμία από τις επιλογές,1,
5,"Ποιος τύπος συσχέτισης θα περιέγραφε καλύτερα το εξής παράδειγμα: «Ένας εργαζόμενος εργάζεται σε μία επιχείρηση και μία επιχείρηση διαθέτει πολλούς εργαζομένους:",Πολλά προς πολλά,Ένα προς πολλά,Ένα προς ένα,Καμία από τις άλλες επιλογές,2,
5,"Έστω ένας πίνακας Student(AM, Name, Surname, Age) με πληροφορίες των μαθητών ενός σχολείου. Το παρακάτω ερώτημα SQL μεταφράζεται ως:","Δείξε όλα τα στοιχεία των μαθητών που έχουν ηλικία μεγαλύτερη των 20 ετών.","Δείξε τις ηλικίες των μαθητών που έχουν ηλικία μεγαλύτερη των 20 ετών.","Δείξε όλα τα στοιχεία των μαθητών εκτός από εκείνους που έχουν ηλικία μεγαλύτερη των 20 ετών.","Δείξε τις ηλικίες των μαθητών εκτός από εκείνους που έχουν ηλικία μεγαλύτερη των 20 ετών.",1,images/db_sql.png
